frameid,x1,y1,x2,y2
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,119,948,1056
76,0,2,936,986
77,0,1,949,1056
78,0,1,963,1056
79,0,0,983,1056
80,0,2,967,1021
81,0,2,987,954
82,0,1,1005,911
83,0,0,1011,854
84,0,3,1022,806
85,1,2,1028,777
86,1,34,1029,754
87,2,79,1029,735
88,5,116,1031,713
89,100,155,1030,697
90,181,186,1029,681
91,248,213,1028,668
92,312,238,1021,657
93,361,256,1023,646
94,411,279,1021,636
95,456,294,1018,635
96,487,304,1013,625
97,533,302,1009,619
98,549,302,1009,617
99,604,375,1006,610
100,633,372,1007,607
101,655,359,1009,597
102,635,381,1005,594
103,649,387,1000,591
104,668,394,1000,587
105,683,399,1003,587
106,693,402,999,583
107,708,407,998,578
108,720,412,992,576
109,746,430,993,571
110,740,422,996,572
111,769,442,988,566
112,777,445,989,565
113,782,446,989,562
114,794,449,988,560
115,799,446,985,559
116,806,449,986,556
117,811,450,988,554
118,817,453,985,553
119,823,451,987,552
120,831,454,990,551
121,841,454,991,550
122,844,459,991,547
123,841,458,996,549
124,843,458,1000,548
125,854,464,992,542
126,852,462,1000,545
127,875,463,992,537
128,873,465,993,535
129,868,462,1001,535
130,867,462,1003,530
131,873,461,1003,529
132,883,461,1000,526
133,881,458,1006,522
134,884,456,1006,519
135,888,454,1005,515
136,888,452,1005,511
137,891,452,1007,508
138,894,444,1008,505
139,899,442,1009,502
140,903,439,1010,499
141,903,438,1010,492
142,907,434,1012,489
143,909,431,1013,486
144,912,430,1016,482
145,916,425,1017,478
146,920,421,1019,474
147,922,419,1019,469
148,923,416,1020,466
149,927,411,1021,462
150,929,408,1022,459
151,930,405,1025,454
152,933,402,1026,452
153,935,398,1028,448
154,936,393,1028,444
155,938,392,1029,439
156,937,389,1030,437
157,941,385,1033,433
158,941,381,1033,430
159,943,377,1034,427
160,945,374,1034,423
161,940,370,1033,416
162,939,368,1035,411
163,941,364,1034,407
164,936,358,1035,408
165,950,357,1036,407
166,952,355,1035,405
167,950,350,1034,400
168,950,347,1033,399
169,950,346,1034,395
170,949,342,1032,393
171,949,340,1034,391
172,948,336,1030,388
173,943,333,1027,384
174,947,334,1026,383
175,943,328,1023,380
176,943,326,1021,376
177,942,325,1018,373
178,940,321,1016,372
179,941,320,1013,369
180,933,319,1012,368
181,930,319,1010,367
182,932,321,1003,363
183,931,315,1001,362
184,922,312,998,361
185,921,311,998,359
186,918,309,992,354
187,913,307,989,354
188,908,306,987,349
189,904,305,981,348
190,905,303,977,349
191,901,301,971,349
192,897,299,969,346
193,893,299,966,344
194,891,298,962,342
195,887,297,958,342
196,882,296,954,339
197,881,294,952,339
198,876,292,949,336
199,874,294,940,331
200,871,290,937,327
201,870,286,930,324
202,868,286,928,323
203,865,283,925,324
204,864,283,924,322
205,862,281,921,322
206,858,280,920,322
207,853,279,913,321
208,849,277,914,320
209,849,278,909,317
210,846,274,906,312
211,845,272,904,310
212,843,270,903,308
213,841,270,901,308
214,838,268,898,310
215,836,267,893,309
216,833,266,890,305
217,832,265,889,303
218,829,261,888,300
219,830,260,887,298
220,827,259,884,297
221,826,257,882,295
222,824,256,881,297
223,821,255,880,296
224,819,254,876,292
225,817,252,874,289
226,817,249,874,287
227,815,248,871,285
228,814,246,871,287
229,813,245,870,280
230,814,243,868,281
231,813,242,867,276
232,811,242,865,273
233,808,239,864,272
234,808,237,864,271
235,806,235,860,269
236,807,235,861,269
237,805,234,859,267
238,807,231,858,266
239,805,229,856,264
240,802,227,859,264
241,802,227,856,258
242,801,225,855,259
243,801,223,854,256
244,801,221,854,255
245,801,219,854,253
246,799,218,853,252
247,798,218,852,252
248,798,215,849,249
249,800,216,850,250
250,798,214,849,248
251,799,212,847,246
252,797,209,848,243
253,797,207,848,242
254,800,205,845,239
255,797,204,845,241
256,796,204,847,238
257,796,203,844,236
258,795,201,843,234
259,795,200,846,234
260,794,200,845,233
261,795,197,843,230
262,793,194,843,228
263,793,194,843,224
264,794,194,842,224
265,794,192,841,221
266,794,190,842,220
267,794,188,842,221
268,794,187,839,218
269,793,183,838,213
270,792,181,840,210
271,791,180,836,210
272,791,178,838,209
273,791,176,836,209
274,790,176,835,203
275,787,171,834,205
276,788,172,833,202
277,785,169,830,198
278,785,166,832,197
279,785,166,829,197
280,787,165,829,194
281,784,164,828,195
282,782,164,827,194
283,781,162,825,191
284,781,160,825,191
285,779,157,824,188
286,777,157,822,187
287,778,155,823,185
288,778,153,822,183
289,776,154,818,183
290,777,153,819,183
291,776,151,821,182
292,775,151,820,181
293,777,149,818,180
294,776,148,821,179
295,776,149,818,178
296,778,146,817,172
297,778,144,817,173
298,777,143,818,170
299,778,142,819,172
300,777,141,818,170
301,778,141,819,168
302,778,141,819,168
303,780,139,819,166
304,779,139,821,166
305,778,139,819,166
306,780,138,822,165
307,781,137,820,164
308,783,136,822,165
309,781,135,823,164
310,783,135,824,162
311,783,132,822,162
312,783,133,824,163
313,783,135,825,162
314,784,135,826,162
315,787,133,823,160
316,789,136,825,162
317,790,137,826,160
318,789,137,827,160
319,793,134,826,160
320,794,136,830,162
321,794,137,830,161
322,793,137,828,160
323,793,136,829,162
324,794,136,830,163
325,796,137,832,163
326,795,136,833,163
327,797,136,833,166
328,800,139,836,165
329,800,139,835,165
330,800,140,836,166
331,801,141,837,168
332,802,142,837,168
333,804,143,837,169
334,803,144,836,170
335,805,145,838,172
336,805,147,840,173
337,805,149,840,176
338,806,151,842,178
339,807,155,843,179
340,809,155,844,181
341,810,157,843,183
342,808,159,844,186
343,810,163,846,187
344,812,167,845,190
345,812,168,845,191
346,813,170,843,193
347,814,173,847,196
348,815,175,848,199
349,814,179,847,202
350,814,181,849,204
351,815,183,848,207
352,817,186,847,209
353,817,189,847,212
354,818,193,848,216
355,819,196,849,218
356,820,197,850,220
357,817,199,849,222
358,820,203,850,225
359,820,206,850,228
360,821,212,851,234
361,822,211,849,233
362,823,217,851,240
363,823,216,849,239
364,822,220,849,243
365,821,223,851,245
366,827,230,852,250
367,826,228,853,251
368,827,236,854,256
369,830,238,855,259
370,828,240,856,264
371,831,244,855,266
372,832,249,856,270
373,833,251,858,274
374,833,255,860,278
375,833,258,861,281
376,833,261,863,286
377,834,266,863,289
378,835,269,863,292
379,839,274,865,297
380,839,276,867,299
381,842,283,867,303
382,841,286,869,308
383,843,289,870,313
384,846,296,872,316
385,846,299,874,321
386,847,303,875,327
387,848,309,877,331
388,852,314,878,335
389,853,320,880,339
390,854,324,882,342
391,855,328,884,347
392,856,333,886,353
393,861,339,885,358
394,862,344,888,363
395,864,349,891,369
396,865,353,891,372
397,868,359,894,377
398,869,364,897,385
399,870,369,897,393
400,871,375,898,394
401,872,379,901,399
402,879,384,904,405
403,879,389,906,412
404,882,392,913,415
405,884,399,911,420
406,890,409,913,426
407,892,414,915,432
408,894,419,920,438
409,898,425,924,442
410,897,430,923,444
411,902,433,926,454
412,904,436,932,458
413,906,445,932,462
414,907,448,933,468
415,911,455,937,472
416,913,461,939,478
