frameid,x1,y1,x2,y2
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,554,729
82,0,0,568,700
83,0,0,589,659
84,0,0,606,641
85,0,0,614,620
86,0,0,626,590
87,0,0,633,566
88,0,0,647,553
89,0,0,650,538
90,0,0,661,529
91,0,28,664,522
92,0,49,670,513
93,0,68,678,508
94,0,87,686,500
95,15,106,686,488
96,59,123,692,486
97,96,137,687,484
98,130,153,694,479
99,161,167,696,477
100,191,180,695,470
101,215,191,696,468
102,238,202,696,465
103,261,214,697,463
104,282,222,697,461
105,299,231,701,459
106,316,238,702,458
107,330,246,700,457
108,347,253,698,454
109,359,259,698,452
110,373,263,697,451
111,382,268,697,451
112,396,274,696,449
113,406,278,697,448
114,415,283,696,446
115,426,287,696,443
116,435,291,696,445
117,442,295,696,443
118,451,297,698,442
119,458,301,697,441
120,468,307,698,441
121,474,310,702,440
122,482,313,701,438
123,489,316,699,439
124,496,316,701,436
125,505,320,698,435
126,509,322,701,433
127,516,322,704,434
128,520,323,704,430
129,527,327,706,430
130,533,330,711,426
131,538,332,708,426
132,545,334,709,419
133,548,333,710,416
134,554,332,713,414
135,566,332,706,413
136,572,332,702,410
137,572,329,722,404
138,573,330,715,401
139,575,321,722,397
140,577,321,722,393
141,581,316,722,392
142,583,313,726,386
143,590,313,725,386
144,584,305,730,377
145,588,299,729,373
146,590,301,718,366
147,596,297,731,364
148,599,291,730,360
149,599,288,733,356
150,602,284,734,352
151,603,279,735,346
152,607,274,729,343
153,609,271,729,337
154,609,270,729,335
155,610,261,730,330
156,612,259,726,324
157,612,258,723,322
158,614,253,725,320
159,614,251,729,314
160,616,246,729,313
161,617,243,728,307
162,618,242,729,304
163,617,237,726,304
164,617,236,728,302
165,619,230,728,296
166,621,229,728,293
167,622,227,728,291
168,622,224,727,287
169,623,221,726,285
170,624,219,726,285
171,623,219,729,282
172,625,216,729,279
173,625,214,729,278
174,626,214,729,276
175,628,212,729,274
176,626,209,727,271
177,628,204,729,270
178,628,207,727,266
179,626,205,728,267
180,627,204,726,262
181,627,200,724,262
182,627,199,723,257
183,627,197,723,257
184,626,196,722,258
185,626,196,723,257
186,625,194,722,254
187,624,193,719,248
188,624,191,718,247
189,624,190,717,245
190,623,188,715,245
191,622,187,714,241
192,622,185,712,238
193,620,183,712,237
194,618,183,711,239
195,618,181,709,234
196,617,180,709,235
197,617,178,707,234
198,615,178,703,232
199,613,179,701,231
200,612,175,701,230
201,612,174,699,227
202,609,173,700,229
203,608,171,699,226
204,608,171,694,226
205,609,170,694,222
206,605,169,688,222
207,606,169,687,221
208,606,167,687,219
209,606,167,686,219
210,604,166,685,218
211,601,165,685,218
212,602,164,682,218
213,603,162,682,218
214,600,162,682,218
215,601,161,679,213
216,598,159,681,213
217,599,160,680,212
218,600,160,681,211
219,599,159,679,211
220,598,158,679,212
221,601,158,678,212
222,601,158,678,211
223,599,157,677,211
224,598,155,679,210
225,602,155,680,209
226,601,155,683,207
227,603,156,681,206
228,605,156,682,207
229,605,155,685,208
230,608,156,685,208
231,610,153,688,207
232,612,153,688,205
233,614,153,693,207
234,616,153,693,207
235,619,155,697,207
236,623,155,696,207
237,627,156,702,209
238,631,155,706,208
239,633,157,707,208
240,637,159,713,209
241,642,161,715,211
242,647,160,721,212
243,651,161,724,211
244,653,161,728,214
245,659,163,732,214
246,665,163,736,214
247,670,165,742,217
248,676,166,748,217
249,683,168,752,220
250,689,170,756,220
251,696,171,761,219
252,702,172,767,220
253,706,178,772,223
254,712,177,776,223
255,715,180,782,225
256,721,182,786,224
257,727,184,791,226
258,731,184,797,227
259,736,184,800,228
260,743,186,805,230
261,749,190,809,229
262,752,189,813,230
263,757,190,819,232
264,763,190,824,233
265,768,192,825,231
266,772,195,832,234
267,777,194,835,234
268,783,195,837,236
269,788,198,842,236
270,789,200,844,235
271,794,201,849,236
272,802,199,850,236
273,804,201,855,235
274,808,201,859,235
275,810,202,861,233
276,816,201,866,235
277,820,203,868,236
278,824,202,872,236
279,825,204,876,238
280,828,203,878,238
281,832,205,883,238
282,837,205,885,238
283,841,206,886,237
284,842,205,890,238
285,843,206,891,237
286,847,206,895,237
287,851,206,898,239
288,855,206,900,237
289,856,208,903,237
290,859,207,906,237
291,863,207,910,237
292,865,207,910,241
293,868,207,913,241
294,872,207,914,241
295,874,208,918,242
296,878,208,920,241
297,878,211,925,241
298,881,211,926,242
299,883,211,928,244
300,887,212,929,245
301,887,212,932,246
302,891,212,936,245
303,895,211,940,244
304,900,212,942,243
305,901,214,945,247
306,903,216,948,246
307,907,217,949,244
308,911,218,955,247
309,913,219,955,246
310,914,218,959,248
311,918,219,963,249
312,922,219,964,249
313,925,220,970,250
314,927,221,972,251
315,934,222,973,249
316,935,221,977,251
317,937,221,981,252
318,941,221,983,251
319,947,224,989,256
320,950,224,994,255
321,953,225,998,256
322,957,224,1001,256
323,961,227,1003,257
324,965,228,1007,258
325,968,225,1009,255
326,971,227,1015,254
327,976,228,1018,260
328,979,228,1023,260
329,984,229,1026,261
330,988,230,1030,261
331,991,229,1034,263
332,995,231,1037,263
333,999,231,1042,263
334,1003,230,1046,264
335,1005,231,1053,266
336,1009,232,1056,265
337,1012,234,1059,266
338,1018,235,1061,266
339,1021,235,1064,267
340,1025,235,1067,268
341,1031,237,1071,269
342,1033,238,1077,270
343,1035,238,1080,270
344,1038,238,1085,271
345,1043,238,1088,272
346,1047,241,1092,273
347,1051,242,1095,274
348,1055,244,1100,274
349,1057,243,1102,275
350,1062,244,1109,275
351,1064,244,1110,276
352,1071,248,1112,274
353,1071,246,1119,278
354,1075,245,1121,279
355,1079,248,1125,281
356,1084,248,1128,282
357,1089,251,1130,283
358,1091,251,1133,282
359,1094,253,1141,282
360,1098,252,1141,283
361,1103,255,1145,284
362,1104,255,1150,285
363,1109,257,1151,285
364,1112,258,1155,285
365,1116,259,1160,286
366,1121,260,1163,287
367,1122,261,1166,288
368,1125,262,1170,289
369,1131,263,1171,289
370,1131,263,1175,290
371,1136,266,1178,290
372,1139,267,1181,290
373,1141,266,1186,292
374,1144,269,1186,295
375,1147,269,1189,294
376,1151,271,1193,295
377,1152,273,1191,296
378,1154,274,1192,299
379,1156,276,1196,299
380,1157,277,1200,302
381,1160,279,1200,303
382,1161,280,1203,306
383,1163,280,1203,308
384,1162,282,1205,310
385,1164,284,1205,310
386,1166,287,1207,313
387,1166,287,1209,315
388,1168,287,1209,319
389,1170,291,1210,318
390,1170,291,1212,320
391,1172,294,1211,322
392,1173,296,1213,325
393,1175,298,1214,327
394,1177,301,1214,328
395,1177,302,1217,331
396,1180,304,1218,334
397,1180,308,1219,333
398,1183,308,1219,337
399,1183,309,1222,338
400,1185,312,1222,343
401,1185,314,1225,342
402,1187,317,1226,344
403,1188,320,1227,348
404,1191,322,1229,351
405,1193,326,1229,352
406,1192,328,1233,354
407,1196,331,1234,358
408,1196,332,1235,359
409,1199,335,1237,364
